Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,WHO Region
,Afghanistan,33.93911,67.709953,2020-01-22,0,0,0,0,Eastern Mediterranean
,Albania,41.1533,20.1683,2020-01-22,0,0,0,0,Europe
,Algeria,28.0339,1.6596,2020-01-22,0,0,0,0,Africa
,Andorra,42.5063,1.5218,2020-01-22,0,0,0,0,Europe
,Angola,-11.2027,17.8739,2020-01-22,0,0,0,0,Africa
,Antigua and Barbuda,17.0608,-61.7964,2020-01-22,0,0,0,0,Americas
,Argentina,-38.4161,-63.6167,2020-01-22,0,0,0,0,Americas
,Armenia,40.0691,45.0382,2020-01-22,0,0,0,0,Europe
Australian Capital Territory,Australia,-35.4735,149.0124,2020-01-22,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,2020-01-22,0,0,0,0,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,2020-01-22,0,0,0,0,Western Pacific
Queensland,Australia,-27.4698,153.0251,2020-01-22,0,0,0,0,Western Pacific
South Australia,Australia,-34.9285,138.6007,2020-01-22,0,0,0,0,Western Pacific
Tasmania,Australia,-42.8821,147.3272,2020-01-22,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,2020-01-22,0,0,0,0,Western Pacific
Western Australia,Australia,-31.9505,115.8605,2020-01-22,0,0,0,0,Western Pacific
,Austria,47.5162,14.5501,2020-01-22,0,0,0,0,Europe
,Azerbaijan,40.1431,47.5769,2020-01-22,0,0,0,0,Europe
,Bahamas,25.025885,-78.035889,2020-01-22,0,0,0,0,Americas
,Bahrain,26.0275,50.55,2020-01-22,0,0,0,0,Eastern Mediterranean
,Bangladesh,23.685,90.3563,2020-01-22,0,0,0,0,South-East Asia
,Barbados,13.1939,-59.5432,2020-01-22,0,0,0,0,Americas
,Belarus,53.7098,27.9534,2020-01-22,0,0,0,0,Europe
,Belgium,50.8333,4.469936,2020-01-22,0,0,0,0,Europe
,Benin,9.3077,2.3158,2020-01-22,0,0,0,0,Africa
,Bhutan,27.5142,90.4336,2020-01-22,0,0,0,0,South-East Asia
,Bolivia,-16.2902,-63.5887,2020-01-22,0,0,0,0,Americas
,Bosnia and Herzegovina,43.9159,17.6791,2020-01-22,0,0,0,0,Europe
,Brazil,-14.235,-51.9253,2020-01-22,0,0,0,0,Americas